id;name;description;total_value;last_updated
1;deduct hm;scar;22820.23;2025-01-18T09:30:49
2;requirement failing;as flight onto;4920.05;2025-01-18T08:16:56
3;yahoo gentle;as versus even;7425.41;2025-01-18T11:56:21
4;pastel;humor;8351.5;2025-01-17T20:54:14
5;why kettledrum haversack;that blowgun why;28920.58;2025-01-18T08:32:36
6;flowery;pish;23590.18;2025-01-18T03:10:40
7;kissingly;coolly ah;16994.45;2025-01-18T08:06:38
8;optimistic castanet complication;valiantly than finally;8875;2025-01-17T19:39:25
9;inferior eek sweetly;going;26845.35;2025-01-18T00:00:01
10;an unaccountably reorganisation;ew upon;10602.19;2025-01-18T03:52:46
