id;transaction_type;quantity;price;timestamp
1;SELL;24370.07;23308.28;2025-01-18T11:13:30
2;SELL;23926.98;510.11;2025-01-18T09:49:38
3;BUY;28564.39;27492.69;2025-01-18T14:38:58
4;REBALANCE;8410.84;18305.88;2025-01-18T06:29:56
5;REBALANCE;14929.65;23296.95;2025-01-18T05:04:22
6;SELL;27744.34;24036.71;2025-01-18T17:13:22
7;SELL;11491.33;27341.69;2025-01-18T16:26:00
8;SELL;30846.85;22814.44;2025-01-18T16:12:48
9;REBALANCE;27366.77;9499.69;2025-01-18T18:56:07
10;REBALANCE;27923.94;7726.79;2025-01-18T05:55:26
